Country,Code,Region,PM2.5,HDI,HDI_Group,LifeExp
St. Lucia,LCA,North America,23.7585855502375,0.734,High,72.3077
St. Vincent and the Grenadines,VCT,North America,23.9262758481858,0.781,High,69.6051
Sudan,SDN,Africa,45.8349025581217,0.513,Low,65.1237
Suriname,SUR,South America,27.3059698425997,0.714,High,72.3208
Sweden,SWE,Europe,5.63670790600148,0.951,Very High,82.4271
Switzerland,CHE,Europe,9.06104968621636,0.963,Very High,83.0626
Syrian Arab Republic,SYR,Asia,24.7058382627422,0.57,Medium,71.944
Tajikistan,TJK,Asia,37.0534062306267,0.664,Medium,68.6054
Tanzania,TZA,Africa,25.081431153535,0.554,Medium,66.7712
Thailand,THA,Asia,31.0072016277159,0.798,High,77.3314
Timor-Leste,TLS,Asia,17.4104661970888,0.65,Medium,66.9191
Togo,TGO,Africa,51.6661369398223,0.554,Medium,61.1225
Tonga,TON,Oceania,12.4784129504796,0.765,High,72.3787
Trinidad and Tobago,TTO,North America,25.6022583642289,0.8,Very High,72.645
Tunisia,TUN,Africa,24.1829826735327,0.733,High,75.0035
Turkiye,TUR,Asia,21.6120469179783,0.838,Very High,76.5255
Turkmenistan,TKM,Asia,19.5997611438189,0.744,High,68.8457
Tuvalu,TUV,Oceania,5.91780105591262,0.681,Medium,66.3567
Uganda,UGA,Africa,33.8077192571642,0.571,Medium,66.4098
Ukraine,UKR,Europe,14.90010098879,0.783,High,73.2833
United Arab Emirates,ARE,Asia,36.3055030826594,0.909,Very High,81.9363
United Kingdom,GBR,Europe,9.91288560282114,0.93,Very High,80.3854
United States,USA,North America,7.81485752365112,0.925,Very High,77.0115
Uruguay,URY,South America,10.5717923259135,0.837,Very High,78.3811
Uzbekistan,UZB,Asia,31.9604294559849,0.723,High,71.4613
Vanuatu,VUT,Oceania,14.0824115364695,0.617,Medium,70.3845
"Venezuela, RB",VEN,South America,15.2565796212874,0.699,Medium,72.3693
Viet Nam,VNM,Asia,20.8010641731194,0.755,High,75.3832
West Bank and Gaza,PSE,Asia,26.3636264444046,0.718,High,74.9978
"Yemen, Rep.",YEM,Asia,34.8323598356099,0.459,Low,66.4354
Zambia,ZMB,Africa,24.3085919008655,0.578,Medium,63.3607
Zimbabwe,ZWE,Africa,19.4941796611344,0.582,Medium,61.53
